index,target
563,TUBA3C
562,CRLF2
512,CCDC6
2707,ERN1
515,ARHGDIB
518,PI4KB
2698,NTF4
2696,RPS6KA4
521,SELP
649,BAIAP2
2692,MPI
2680,SMOX
531,SI
2666,GPR119
548,RORA
2665,GPX2
549,HSPG2
561,FH
524,IDO2
814,RNASEL
657,PIK3C2G
2566,CCL16
2469,MYH11
755,IL5RA
2465,UCK1
756,PKN2
2459,CYP2S1
2458,CCL11
2449,PDE4A
2447,GAL3ST1
758,MPST
764,CYLD
765,PDCD1
781,MOGAT3
2432,S1PR1
1593,LPIN3
807,CFD
2471,AVPR1B
2480,DOCK2
2483,SIPA1
2487,POLR3K
2553,CLTB
674,CCL7
681,CTSG
2544,HPSE2
687,HSD17B2
2539,IMPDH1
689,MYB
658,POLR2F
2529,PAPSS2
693,TUBA3D
695,PGAM4
716,CCR7
718,AREG
2507,TNFRSF17
2492,AVPR1A
731,SH2D1A
2526,MAGI3
1048,GABARAPL2
2161,BMP8B
1051,PGAM1
1781,DHDH
1395,HTR1B
1773,ATIC
1771,ATP6V0A1
1400,SIRT1
1404,MIOX
1765,KSR1
1420,KCNU1
1422,MPP5
1759,ZAK
1755,SOCS7
1749,ICOSLG
1439,DCK
1440,TYROBP
1740,CBS
1394,DUSP9
1393,MAPKAPK3
1391,PIK3C2B
1792,PRKAR2B
1865,PTAFR
1863,HOMER2
1315,ACVR1C
1848,POLR3GL
1319,SYNJ1
1321,CNGA4
1329,HSD17B12
1736,CLTCL1
1832,RAPGEF5
1827,HNF1A
1812,SOD1
1361,FGB
1367,CNR1
1378,MIR21
1799,RFXAP
1383,TUBB1
1334,LPAR3
1303,IFNL2
1450,ADSL
1730,TNFRSF11B
1672,SERPING1
1668,CSNK1A1L
1536,POLA1
1540,KCNJ1
1648,LY96
1548,RCAN1
1635,CAPN1
1624,AGPAT4
1620,AMT
1615,CXCL6
1613,CCL17
1611,ATP6V0C
1560,NANOG
1603,MAD1L1
1585,PDE6A
1525,FRS2
1522,MARCKS
1514,RGS9
1501,AGPAT5
1720,MAPT
1455,EEF2K
1715,ACO2
1713,LPAR4
1456,ALDH4A1
1457,TYR
1709,ENO3
1731,NFYA
1707,TBXAS1
1466,ELK4
1698,GGT7
1473,TUBB6
1478,GFPT1
1492,ADSSL1
1687,CYP7B1
1686,PPARD
1464,CHPT1
1872,GMPS
1886,BAMBI
1283,TMEM173
2094,IMPDH2
2090,PDE4D
1136,TUBB3
2074,BDH1
2073,ADSS
1142,TFG
2062,MBL2
1146,L1CAM
1151,FARP2
2049,ATP6V0B
1152,MYL4
2042,TST
2037,SEPSECS
2024,PKN1
2017,NME3
1127,CFI
1121,CCL8
2104,DCN
1108,ADAM17
1070,TCEB1
2145,GPX5
2143,POLR1E
2142,TSLP
2138,KIR2DL4
2134,LPIN2
2131,ARHGDIG
1160,DNMT1
2129,HSD3B1
2119,APPL1
1093,INPP5E
2117,TFDP1
2116,SIN3A
1097,IFNL3
1099,HDAC4
2110,C8orf44-SGK3
1091,CCNG2
1164,POLR2E
1166,DHFRL1
1186,PSTK
1245,CDS2
1247,MPL
1249,ARHGEF6
1930,HNF4A
1254,CCL20
1921,NME2
1256,CEL
1244,SMAD7
1258,GP5
1265,NCOA4
1268,CX3CL1
1913,GUCA1B
1274,PGR
1897,TAS1R3
1276,SMAD5
1277,GPAT2
1918,DAXX
493,CYP27B1
1241,ICAM2
1945,PCYT1B
2008,PDCD4
1192,MYBPC3
1194,PLK3
1993,GMPPB
1988,GANC
1987,XCL1
1986,PAPSS1
1232,POLR3B
1984,GRK6
1200,MARS2
1205,CREM
1216,GIT1
1220,LCLAT1
1958,RASA2
1224,CBR3
1957,ASL
1198,NUDT2
491,DPM2
2429,SORBS1
487,PDE4C
328,TNFRSF14
327,KIR2DS4
2923,ENO2
315,HSD3B2
308,DAPK3
299,TIMP3
298,GRK1
2934,B4GALT3
2939,PDE6B
2943,TYMS
279,GAMT
277,SIAH1
2949,CCR8
2950,ULK1
276,LLGL1
2957,ATP6V1H
260,POLR2C
2960,SUCLA2
2962,LRRC4C
2963,EPHX1
2969,TUBB
