index,target
1915,KCNE2
1855,OR4S2
3223,FMO2
1856,SEMA4B
3292,UBE2L3
4132,CCNH
1859,PAX6
1861,GRM6
1854,TRAK2
1862,TAP1
4129,TNFRSF9
1866,DUSP16
1867,MIR30E
1869,ACER1
3294,ORAI3
3296,DYNC1LI2
4126,OR2T3
1864,ROBO2
1853,DUSP4
3224,MIR100
4135,TAS2R1
3234,OR9I1
1840,OCLN
4143,SUGT1
1842,HPGDS
3233,SORT1
3232,TAS2R42
1843,SLC34A2
1844,FAHD1
1845,EPHA8
3231,CYP2R1
4142,GPER1
3230,RPN1
3229,OR52I1
4137,FBXO43
4136,CHRD
3226,CMPK2
1850,NEU2
1873,ETNPPL
1996,OR51L1
4125,OR2A5
1876,PAICS
1901,LILRB1
1902,MED24
4100,OR9G4
1904,CHIT1
4099,MAT1A
3299,WTIP
1906,MED4
1900,OR4D1
3211,PF4
1909,RHOQ
3300,H2AFB2
1910,HCN4
4098,AK1
1912,MIR193B
4097,MLXIPL
3301,TRPV6
1908,SUCNR1
4101,HGD
1898,OR1D5
3213,TFPI
4123,OR5R1
4121,ENPP6
1880,GNPDA1
3218,IGF2BP1
1881,OR4F15
4120,MIR7-2
4119,AMPD1
3217,OR56B1
1887,H2AFX
3216,IFIT1
1889,GNAT2
4108,H2AFY
4107,SERPINF2
1893,SOCS6
4106,GALNT4
4104,PIGP
4103,TRPV5
4124,NAT2
2297,MIR210
3111,OR4C12
3350,OR8K1
3402,TAS2R31
3403,PRODH
3578,TAS2R3
3015,DHODH
3014,OR10P1
3577,MIR195
3013,ACKR3
3580,PTGER4
3576,B3GNT2
2747,EXT2
3574,ITGAD
2749,FUT6
2750,CERS6
3571,CARD6
3011,ST6GALNAC4
3570,MEF2BNB-MEF2B
3575,OR5V1
3408,LYL1
2737,OR4E2
3582,TWIST2
3589,ZFPM2
2720,PIGU
2721,OR10J1
3401,PRKD1
2723,SLC51B
2724,MIR200B
2725,CKB
3581,NAMPT
