index,herb
786,紫苏
787,三七
788,长药隔重楼
789,蒲公英
790,花椒
791,橘根
792,橘核
793,胡麻花
794,一叶萩
795,川百合
796,旱芹
797,茄蒂
798,女贞根
799,白花丹参
800,樟树叶
801,黑大豆
802,菊花
803,青蒿
804,五加皮
805,细叶猪屎豆
806,荔枝叶
807,长春花
808,地瓜子
809,加拿大苍耳
810,青蒜
811,炙百合
812,台湾泽兰
813,芡实根
814,灵芝
815,可可
816,首乌藤
817,胡桃枝
818,紫草
819,莪术油
820,吴茱萸叶
821,自消容
822,喷瓜
823,青叶胆
824,牡荆子
825,胡荽
826,无花果
827,通脱木花上粉
828,短萼黄连
829,相思子根
830,西洋梨
831,猕猴桃
832,浙贝母
833,蜂蜜
834,人参叶
835,炙厚朴
836,胡桃树皮
837,芡实
838,蓖麻子
839,杧果核
840,土牛膝
841,越橘叶
842,胡桃青皮
843,牛西西
844,胡桃花
845,霍香
846,紫葳根
847,红旱莲
848,旱莲草
849,蟑螂
850,孩儿参
851,蝉蜕
852,蓖麻叶
853,红头草
854,月见草
855,无患子树蔃
856,枣树皮
857,龙眼肉
858,大枣
859,相思藤
860,胡桃壳
861,人参子
862,樟木
863,大金牛草
864,梧桐叶
865,山梗菜
866,使君子根
867,山荷叶
868,杧果树皮
869,胡桃根
870,紫金牛
871,大叶香薷
872,野百合
873,乌梅
874,芥子
875,白花丹
876,牛心番荔枝
877,桧叶
878,灰叶根
879,广藿香油
880,紫河车
881,狼把草
882,相思子
883,砂仁
884,无患子
885,小叶贯众
886,蓖麻油
887,白蔹
888,臭牡丹根
889,白药子
890,枫香寄生
891,白附子
892,母丁香
893,紫葳茎叶
894,夏枯草
895,天仙子
896,独活
897,葛叶
898,金铃子
899,牛耳大黄
900,药用蒲公英
901,小檗
902,橄榄仁
903,白头翁叶
904,苦檀子
905,红前胡
906,黄瓜叶
907,莱菔叶
908,羊蹄
909,化橘红
910,磨盘草
911,梧桐白皮
912,水栀叶
913,刺黄连
914,荔枝草
915,香加皮
916,苦地丁
917,广木香
918,冷水丹叶
919,汉三七
920,杜仲叶
921,鹅膏
922,粉萆薢
923,千里光
924,毛曼陀罗花
925,粉防己
926,桑柴灰
927,红花苗
928,樟树皮
929,农吉利
930,败酱草
931,西洋参
932,榆花
933,锁阳
934,榆树
935,华中前胡
936,栀子花根
937,柿蒂
938,杜仲
939,羊耳朵叶
940,落花生枝叶
941,偏翅唐松草根
942,猫爪草
943,霍香叶
944,玉蜀黍
945,穿心莲
946,覆盆子根
947,荆芥
948,柏根白皮
949,波叶大黄
950,欧洲桤木
951,鸡血藤
952,小三颗针
953,毛蕊花
954,石花
955,茅膏菜
956,胡桃仁
957,芫花根
958,徐长卿
959,水茄
960,刺人参
961,鸦片
962,桃茎白皮
963,白果叶
964,墨旱莲
965,蒙古蒿
966,龙胆
967,牡荆叶
968,淫羊霍
969,陈皮
970,桦木皮
971,甘草
972,猪苓
973,橘红珠
974,马钱子
975,苦杏仁
976,密蒙花
977,阴行草
978,昆明山海棠
979,丁香树皮
980,枣叶
981,卵叶槲寄生
982,石菖蒲
983,枣仁
984,丁香
985,沙参
986,白鲜皮
987,荆芥根
988,黄花蒿子
989,牡蒿
990,白饭豆
991,茵陈
992,光果甘草
993,海松子
994,千金藤
995,连翘
